"name","founded_on","num_funding_rounds","last_equity_funding_type","last_funding_at","headquartersCountry","employeeCount","Advertising","Agriculture.and.Farming","Clothing.and.Apparel","Commerce.and.Shopping","Community.and.Lifestyle","Computer.Hardware","Consumer.Electronics","Consumer.Goods","Content.and.Publishing","Data.and.Analytics","Design","Education","Energy","Environment.and.Sustainability","Events","Financial.Services","Food.and.Beverage","Gaming","Government.and.Military","Health.Care","HumanResources","Legal","Life.Sciences","Logistics","Manufacturing","Media.and.Entertainment","Messaging.and.Telecommunications","Music.and.Audio","Natural.Resources","Navigation.and.Mapping","Payments","Privacy.and.Security","Professional.Services","Real.Estate.and.Construction","Sales.and.Marketing","Software_x","Sports","Transportation","Travel.and.Tourism","Video","AR.and.VR","Artificial.Intelligence","Biotechnology","BlockChain","Hardware","Science.and.Engineering","Software_y","Sustainability","Round.1","Round.2","Round.3","Round.4","Round.5","short_description","success","days_since_founding"
"Arzooo.com",530,8,11,856,42,376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3e+05,1e+06,7500000,6e+06,7e+07,"India's largest retail tech platform in consumer durables segment transforming 300,000+ SMEs with its flagship ""Go Store"" product",0,1366
"Asaak",236,7,4,875,82,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1500000,750000,2200000,1455948,3e+07,"Finance for the mobile generation",0,1969
"Ascribe Bioscience",202,6,9,884,83,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225000,750000,2500000,5e+05,3184996,"Ascribe Bioscience develops products that enable farmers to combat crop pathogens without negative impacts on the environment.",0,2040
"AseptiScope",1,3,9,311,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1442500,1442500,230000,595000,8051099,"AseptiScope is a medical device developer and provider designed to address the challenges of healthcare-associated infection.",0,1601
"Askel Healthcare",234,6,9,568,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,106640,761518,437601,860128,598943,"Askel Healthcare is a healthcare company that specializes in cell biology, material science, orthopedics and tissue engineering.",0,1590
"Aspero Medical",395,5,2,714,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,250000,580000,1e+06,225000,310000,"Aspero Medical is developing an endoscopic device that can be used by doctors treating patients with gastrointestinal diseases.",0,1461
"Aspire",395,6,12,1035,74,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9e+06,32500000,5.8e+07,1e+08,1e+08,"#1 Business Neonank in SE Asia. Y-Combinator backed.",0,1870
"AssetVault",1,3,9,18,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120000,186678,889049,1216338,32674,"Data security solutions provider",0,517
"AssistMe",197,5,10,198,22,31,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,104570,743483,401012,2240487,2191989,"AssistMe creates a complete care infrastructure, primarily through intelligent incontinence solutions.",0,1021
"Assuaged, Inc.",202,5,7,713,83,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,250000,1e+05,50000,124000,111111,"Digital Technology, Interactive Website, and Mobile App",0,1825
"Assure Hedge",36,9,9,552,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,33555,179389,272715,177928,1753797,"Assure Hedge provides automated currency hedging solutions for businesses.",0,1925
"Astarte Medical",42,1,10,632,83,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,250000,1868133,5e+06,3380325,7600000,"Gut health monitoring informatics platform for preterm infants",0,2021
"Asto CT",1,5,11,582,83,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2e+05,250000,1785000,3506532,1251620,"Standing CT Scan for Horses",0,2027
"Astra",172,7,10,939,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150000,1500000,1669999,1250000,2e+06,"Provider of space mission launch services",0,2177
"Astraea",140,4,10,874,83,14,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3202227,3650000,3698806,3e+06,3596430,"Develops machine learning powered platform for satellite imagery analysis",0,2149
"Astronomer",395,9,12,778,83,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120000,1900000,2500000,1e+06,3500000,"Cloud-based platform for data pipelines",0,1542
"AstrumU, Inc.",305,4,10,346,83,31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1e+06,3e+06,2300000,7e+05,2225000,"AstrumU is a translating educational experiences into economic opportunity!",0,1123
"asya.ai",530,7,7,714,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,57885,113405,30000,293601,56869,"Asya is an app for mindful conversation powered by Ethical AI",0,1188
"At-Bay",140,8,17,906,83,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6e+06,1.3e+07,3.4e+07,3.4e+07,1.85e+08,"Online cyber insurance platform for businesses",0,2192
"ATAI Life Sciences",395,10,13,892,22,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12600000,3600000,25500000,25068960,4.3e+07,"ATAI Life Sciences develops innovative mental health treatments that address significant unmet medical needs.",1,1687
"Atexto",429,5,9,222,83,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,65000,40000,325000,25000,713000,"SaaS to source training data for speech recognition",0,641
"Athelas",92,4,17,738,83,127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50000,3700000,1.5e+07,7.2e+07,1.32e+08,"Provider of smart solutions for monitoring heart rate, weight, and blood pressure",0,2070
"Athennian",114,7,11,784,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,550000,1518480,1513053,6109650,5541500,"All-in-one software for legal teams. Document automation, eSign, collaboration, legal entity management and more.",0,2083
"Athletic Brewing",202,11,13,960,83,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250000,5e+05,3122221,17500000,17500000,"Brand of beer",0,2138
"Atlas Governance",1,6,10,695,10,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,477290,387864,789463,280310,5024043,"Atlas is a software developer focused on board portals and other solutions for the boards of directors.",0,2169
"Atlis Motor Vehicles",180,9,8,957,83,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1068091,104000,1049296,16577,1049889,"Design and Development of battery electric trucks and charging stations",1,2186
"Atmos",395,8,10,965,83,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30000,2e+06,125000,4e+06,5997013,"Atmos handles the entire homebuilding process, all online.",0,1779
"Atom Computing",395,7,12,1025,83,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5e+06,5e+06,225000,750000,15999999,"Atom Computing builds truly scalable quantum computers out of individual atoms.",0,1856
"Atomos Space",395,6,10,1007,83,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,460000,40000,1e+05,2113960,5e+06,"Atomos Space is developing high-powered electric propulsion spacecraft.",0,1831
"Attentive",1,7,14,496,83,558,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13024066,39999891,7e+07,4e+07,109999962,"Attentive is a personalized mobile messaging platform for innovative brands and organizations.",0,1909
"Audience Town",550,3,9,767,83,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1e+06,1102409,6100000,2100000,6100000,"Audience Town is a provider of digital advertising services used to match services and inventory to the right audiences online.",0,1194
"Audioptics Medical",1,3,9,532,13,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50000,1508010,1900000,492000,240000,"Developer of diagnostic devices for ear-related diseases",0,1957
"Audius",412,4,17,718,83,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5500000,3100000,4348998,1250000,5e+06,"Audius is creating a fully decentralized community of artists, developers, and listeners collaborating to share and defend music.",0,1434
"Audoo",522,5,17,698,32,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,195644,1566387,324928,6659699,9513113,"Audoo is creating a royalty revolution to ensure accuracy is delivered for artists.",0,1199
"Augmental Education",395,6,1,213,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,15000,33000,2000,50000,12000,"Augmental is an educational technology solution initially targeting students where courses are adapted to each student’s learning abilities",0,677
"Aunt Flow",1,7,10,801,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10000,292000,560000,851000,1500000,"Internet-first brand of female hygiene products",0,2302
"Aurora",202,7,6,669,83,625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3105959,9e+07,5.3e+08,6e+08,69513826,"Tech-enabled solutions for autonomous vehicles",1,1768
"Autobon AI",181,3,7,132,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,475000,120000,7e+05,265000,1020700,"Autobon is pioneering DeliveryOS - a fully automated freight shipping platform for those who ship, manage, or transport high-value products.",0,902
"Automation Intellect, Inc.",175,4,17,999,83,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000,2100000,2100000,1767577,997000,"Automation Intellect is a SaaS company that is improving industrial machine performance using data analytics.",0,2249
"Automotus",285,7,9,994,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,110000,290000,120000,1200000,25000,"Provider of an AI-enabled platform offering traffic and parking management solution",0,2032
"AutoX",1,5,11,221,83,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,59879,9e+06,3.4e+07,5.1e+07,4.3e+07,"AI-enabled platform offering solutions for self-drive vehicles and grocery delivery services",0,1430
"Auxxit",395,4,7,785,83,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110000,25000,1e+05,150000,65000,"Auxxit is a next-generation digital marketplace platform that leverages the engaging experiences of real-time group chat and live streaming.",0,1550
"Ava Labs",395,8,17,797,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6e+06,1.2e+07,50000,1.2e+07,4.2e+07,"Ava Labs makes it simple to launch finance applications using blockchain technology.",0,1564
"AVA Technologies",1,7,9,50,13,31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50000,60000,1e+05,116284,2010710,"Automatically grow year-round herbs, tomatoes, and more",0,886
"Avail Finance",223,5,11,526,42,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2e+05,17200000,9e+06,11792653,3250374,"Avail is a digital app that offers loans with flexible repayment options to the blue-collared workforce of India.",1,1552
"AvantStay",340,6,8,751,83,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1e+06,1e+06,5e+06,5e+06,2e+07,"Online booking platform for vacation rentals",0,1629
"Avicanna",1,11,6,962,13,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1191480,4750000,16519041,5e+06,1566320,"Developer of medical cannabis products",1,2506
"Aviom India Housing Finance",1,5,12,654,42,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340276,8360598,3700000,1370119,7842017,"Delhi based housing finance company.",0,2117
"Avisi Technologies",202,9,9,859,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2e+05,310000,225000,50000,118500,"Avisi Technologies develops a nanotechnology-enabled defense against blindness from glaucoma.",0,2007
"Avive Solutions",202,5,10,773,83,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1400000,1200000,3400000,5454000,7e+06,"Avive Solutions develops an automated external defibrillator and software solutions.",0,1900
"Avro",1,6,9,55,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3720,5000,25000,10000,30000,"Developer of dermal therapies and patches for pediatric use",0,910
"AVVAY",1,4,9,304,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20000,120000,1194474,1e+06,165000,"Location Scouting For Modern Productions",0,1587
"AwanTunai",236,5,10,767,38,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4300000,2e+07,4.5e+07,11200000,8521561,"AwanTunai is digitizing the traditional FMCG supply chain for micro SME merchants with online inventory ordering and digital payments.",0,1834
"Aware",211,6,12,650,83,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3e+06,4900000,4850000,6e+06,2200000,"Risk management solution",0,1735
"AWH",395,9,6,858,83,3001,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e+07,1.8e+07,3.7e+07,28200000,68200000,"Ascend Wellness is cannabis operator that owns and operates cultivation facilities to provide easy and accessible products.",1,1641
"Awign Enterprises",1,6,11,900,42,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140592,782778,4e+06,539654,1.5e+07,"Awign is a work fulfillment platform that specializes in the gig workforce and provides last-mile delivery services.",0,2428
"AWM Smart Shelf",1,6,17,537,83,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2020000,1247600,1.1e+07,11500022,5e+06,"Provider of smart shelf management solution for offline retailers",0,1963
"Axcend",1,5,10,480,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,2550000,2550000,1700000,750000,"Axcend specializes in providing compact capillary liquid chromatography systems.",0,1888
"Axiado Corporation",319,3,11,476,83,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1e+07,1e+07,9e+05,2e+07,2.5e+07,"Security processor company redefining hardware root of trust with hardware-based security technologies, including per-system AI.",0,1304
"Axial Biotherapeutics",1,6,12,650,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19500000,19150000,2.5e+07,5e+06,1e+07,"Developer of small molecule therapeutics for central nervous system disorder",0,2112
"Axieme",187,6,9,675,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73548,87151,57457,566874,533245,"Axieme is the Social Insurance insurtech, we reward policyholders with a giveback to acknowledge their good behavior.",0,1810
"Axio",1,4,11,885,83,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1052744,2748419,3300000,3e+06,2.3e+07,"Cyber risk management, mitigation & insurance solution",0,2407
"Axiom Space",1,5,12,994,83,176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8e+06,5e+06,7e+06,1.3e+08,5e+07,"Axiom Space is a company developing the first international commercial space station.",0,2547
"AXIOS",1,4,13,667,83,211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1e+07,1e+07,2e+07,2e+07,2.7e+07,"App-based platform offering multi-category news",1,2132
"Axonius",202,7,14,766,83,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4e+06,1.3e+07,2e+07,5.8e+07,1e+08,"Cloud based asset attack surface management solutions provider",0,1892
"Axyon AI",175,5,17,934,44,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,52014,224256,1471030,81868,1566287,"Axyon AI leverages the most recent advancements in deep learning to create bespoke business applications for asset management and trading.",0,2165
"Ayoconnect",1,7,11,939,38,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1e+06,4e+06,5e+06,5e+06,1.5e+07,"Ayoconnect is an Indonesian fintech company focusing in building Indonesia’s largest financial APIs platform.",0,2477
"B-North",395,7,4,723,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5302856,2563160,1292720,341562,18733148,"B-North is a UK-based business lending company",0,1472
"B-Social",1,5,11,833,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,115543,4019390,2221087,10116700,24508310,"Group expenses settlement tool",0,2342
"B2Space",1,9,10,707,32,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13830,52517,25727,170319,121585,"We provide a reliable, flexible and low cost access to Low Earth Orbit for small and micro satellites",0,2183
"BABOON TO THE MOON",1,5,17,757,83,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1170027,2900000,933718,5772074,3509860,"BABOON is a manufacturing that provides highest-grade materials for adventure essentials.",0,2246
"Babylon",252,11,17,976,83,31,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6e+05,223102,20000,2300000,225000,"Indoor farming as a service. Powered by Babylon's remote management platform.",0,2069
"BabyQuip",72,5,9,804,83,31,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,160000,1300000,1053000,626310,850000,"BabyQuip is the leading baby gear marketplace, providing families with gear when they travel and now cleaning baby gear for local families.",0,2185
"Back Office",395,6,10,776,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150000,1800000,535000,5e+05,1.1e+07,"Back Office is a technology-based company that helps small businesses by automating their bookkeeping and accounting.",0,1540
"Bacon",488,4,10,885,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1e+06,3e+06,3e+06,3e+06,8e+06,"Bacon helps companies find qualified workers to fill shifts on short notice using an app.",0,1495
"BadVR",386,7,7,548,83,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,350000,1e+05,250000,120000,1e+06,"BadVR uses virtual reality to craft immersive data experiences that help you see the whole picture and gain actionable insights.",0,1268
"Bagboard",174,5,4,357,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,573938,933546,810954,980788,791612,"Bagboard is an advertising platform that creates premium, eco-friendly, and reusable bags to replace single-use plastic ones.",0,1381
"Bakuun.com",492,6,9,706,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,40000,60000,360000,720000,1530000,"Transforming and sharing the hotels' inventories",0,1256
"BALANCED Media Technology",3,5,9,1029,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6e+05,3500000,50000,85000,40000,"Provider of AI and data science services for gamer community",0,2590
"Balloon",395,13,9,775,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3000,55000,30000,50000,150000,"Balloon unlocks the true value of collaboration by removing cognitive bias, group dynamics, and fears from organizations and teams.",0,1537
